state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Jammu and Kashmir,Jammu and Kashmir,Srinagar,Srinagar,"Rajbagh, Srinagar - JKSPCB",site_5424,34.065992,74.8279023
Jharkhand,Jharkhand,Dhanbad,Dhanbad,"Kalakusuma, Dhanbad - DMC",site_5827,23.7952809,86.4309638
Jharkhand,Jharkhand,Dhanbad,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",site_5710,23.7952809,86.4309638
Jharkhand,Jharkhand,Jorapokhar,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",site_254,23.7167069,86.4110166
Jharkhand,Jharkhand,Pathardih,Pathardih,"Mohalbani Ghat, Pathardih - DMC",site_5832,23.6753417,86.4282846
Karnataka,Karnataka,Bagalkot,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",site_5264,16.1793224,75.6999315
Karnataka,Karnataka,Belgaum,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",site_5432,15.8852297,74.5424187
Karnataka,Karnataka,Bengaluru,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",site_5678,12.9232191,77.50064642949692
Karnataka,Karnataka,Bengaluru,Bengaluru,"Jigani, Bengaluru - KSPCB",site_5729,12.7807858,77.64102425962022
Karnataka,Karnataka,Bengaluru,Bengaluru,"City Railway Station, Bengaluru - KSPCB",site_165,12.98815675,77.62260003796
Karnataka,Karnataka,Bengaluru,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",site_1556,12.9196037,77.583381
Karnataka,Karnataka,Bengaluru,Bengaluru,"BTM Layout, Bengaluru - CPCB",site_162,12.9151772,77.6102821
Karnataka,Karnataka,Bengaluru,Bengaluru,"Silk Board, Bengaluru - KSPCB",site_1558,12.9167972,77.6235628
Karnataka,Karnataka,Bengaluru,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",site_1553,12.9556699,77.5402492
Karnataka,Karnataka,Bengaluru,Bengaluru,"Hebbal, Bengaluru - KSPCB",site_1554,13.0382184,77.5919
Karnataka,Karnataka,Bengaluru,Bengaluru,"Peenya, Bengaluru - CPCB",site_163,13.0329814,77.5331801
Karnataka,Karnataka,Bengaluru,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",site_1555,12.94914525,77.59813853450976
Karnataka,Karnataka,Bengaluru,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",site_164,12.98815675,77.62260003796
Karnataka,Karnataka,Bengaluru,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",site_5681,13.0044979,77.6603231
Karnataka,Karnataka,Bengaluru,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",site_5686,12.98815675,77.62260003796
Karnataka,Karnataka,Bengaluru,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",site_166,12.98815675,77.62260003796
Karnataka,Karnataka,Bidar,Bidar,"Naubad, Bidar - KSPCB",site_5418,17.932637,77.4741107
Karnataka,Karnataka,Chamarajanagar,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",site_5124,11.95442005,77.1069086262881
Karnataka,Karnataka,Chikkaballapur,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",site_1557,13.099376424266564,77.38872899876924
Karnataka,Karnataka,Chikkamagaluru,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",site_5265,13.405869899999999,75.63875801157945
Karnataka,Karnataka,Davanagere,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",site_5422,14.47895585,75.90717496023439
Karnataka,Karnataka,Dharwad,Dharwad,"Kalabhavan, Dharwad - KSPCB",site_5638,15.3707296,75.13328673460543
Karnataka,Karnataka,Gadag,Gadag,"Panchal Nagar, Gadag - KSPCB",site_5419,15.41669195,75.6815801296564
Karnataka,Karnataka,Hassan,Hassan,"B.Katihalli, Hassan - KSPCB",site_5448,13.0163698,76.1301176
Karnataka,Karnataka,Haveri,Haveri,"Ashwini Nagar, Haveri - KSPCB",site_5420,14.71802675,75.36564232024529
Karnataka,Karnataka,Hubballi,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",site_5680,15.3709682,75.1150695
Karnataka,Karnataka,Hubballi,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",site_1447,15.3597632,75.13629477439613
Karnataka,Karnataka,Kalaburagi,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",site_1565,17.240895700000003,76.76974392025645
Karnataka,Karnataka,Kalaburagi,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",site_5679,17.240895700000003,76.76974392025645
Karnataka,Karnataka,Karwar,Karwar,"KHB Colony, Karwar - KSPCB",site_5853,14.8120931,74.1319229
Karnataka,Karnataka,Kolar,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",site_1551,13.1277079,78.15896173851549
Karnataka,Karnataka,Koppal,Koppal,"Diwator Nagar, Koppal - KSPCB",site_5415,15.57482375,76.3118493692591
Karnataka,Karnataka,Madikeri,Madikeri,"Stuart Hill, Madikeri - KSPCB",site_5391,12.42149,75.7387543
Karnataka,Karnataka,Mangalore,Mangalore,"Kadri, Mangalore - KSPCB",site_5421,12.8897288,74.8501424
Karnataka,Karnataka,Mysuru,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",site_5125,12.3051828,76.6553609
Karnataka,Karnataka,Raichur,Raichur,"Haji Colony, Raichur - KSPCB",site_5414,16.054719400000003,76.90036472411589
Karnataka,Karnataka,Ramanagara,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",site_5255,12.720005950000001,77.31841990623
Karnataka,Karnataka,Shivamogga,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",site_5266,13.9370622,75.5697142
Karnataka,Karnataka,Tumakuru,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",site_5682,13.4192512,76.88100044465654
Karnataka,Karnataka,Udupi,Udupi,"Brahmagiri, Udupi - KSPCB",site_5433,13.3412188,74.7407976
Karnataka,Karnataka,Vijayapura,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",site_5267,16.8034264,75.7199513
Karnataka,Karnataka,Yadgir,Yadgir,"Collector Office, Yadgir - KSPCB",site_5254,16.57441225,76.92544344576471
Kerala,Kerala,Eloor,Eloor,"Udyogamandal, Eloor - Kerala PCB",site_5105,10.06729635,76.30912074728826
Kerala,Kerala,Ernakulam,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",site_5272,9.9861492,76.28405005
Kerala,Kerala,Kannur,Kannur,"Thavakkara, Kannur - Kerala PCB",site_5276,11.8718213,75.3676065
Kerala,Kerala,Kochi,Kochi,"Vyttila, Kochi - Kerala PCB",site_5270,9.97436775954181,76.3176496392377
